dates,utq,pdb,kak
1901-01-01,-28.1,-30.9,-28.906034
1901-02-01,-32.19368,-32.0,-33.600285
1901-03-01,-24.0,-23.7,-24.51055
1901-04-01,-22.0,-20.5,-21.700287
1901-05-01,-8.4,-7.4,-7.6108346
1901-06-01,1.4,3.2,2.0891652
1901-07-01,4.7,8.6,5.399715
1901-08-01,2.7936788,6.0,3.6
1901-09-01,0.0,1.0,0.6936789
1901-10-01,-8.693679,-8.0,-8.5
1901-11-01,-18.0,-22.4,-18.2
1901-12-01,-21.5,-23.5,-22.3
1902-01-01,-23.7,-26.8,-24.495487
1902-02-01,-25.3,-25.2,-26.706322
1902-03-01,-33.6,-33.0,-34.11055
1902-04-01,-21.0,-19.8,-20.700287
1902-05-01,-7.3,-6.5,-6.6108346
1902-06-01,2.2,4.1,2.7891653
1902-07-01,5.3,9.3,5.999429
1902-08-01,3.4936788,6.7,4.3
1902-09-01,-1.3,-0.1,-0.6063211
1902-10-01,-8.193679,-7.6,-8.0
1902-11-01,-21.9,-25.8,-22.08945
1902-12-01,-30.0,-32.2,-30.8
1903-01-01,-29.7,-32.7,-30.5
1903-02-01,-27.293678,-27.5,-28.700287
1903-03-01,-27.4,-27.2,-27.9
1903-04-01,-22.3,-21.0,-22.100286
1903-05-01,-8.4,-7.4,-7.6108346
1903-06-01,2.2,3.8,2.884652
1903-07-01,4.2,8.1,4.899715
1903-08-01,4.193679,7.3,5.0
1903-09-01,-1.5,-0.4,-0.9
1903-10-01,-12.9,-12.3,-12.7
1903-11-01,-21.5,-25.8,-21.699715
1903-12-01,-17.8,-20.1,-18.6
1904-01-01,-29.4,-31.9,-29.4
1904-02-01,-33.7,-34.1,-35.70632
1904-03-01,-30.1,-29.8,-31.000286
1904-04-01,-17.9,-16.3,-17.100286
1904-05-01,-6.5,-5.7,-6.0108347
1904-06-01,3.5,4.7,3.0891652
1904-07-01,6.9,10.6,6.589165
1904-08-01,0.9,4.5,2.2
1904-09-01,-3.9936788,-2.6,-3.3002853
1904-10-01,-11.5,-10.4,-10.499715
1904-11-01,-19.3,-23.7,-19.5
1904-12-01,-18.3,-20.9,-19.2
1905-01-01,-22.1,-25.6,-24.299713
1905-02-01,-21.7,-22.2,-24.100286
1905-03-01,-22.5,-22.2,-23.21055
1905-04-01,-14.9,-13.9,-15.210549
1905-05-01,-5.3,-4.4,-4.6108346
1905-06-01,2.3,4.1,2.995201
1905-07-01,3.2,7.6,4.2891655
1905-08-01,2.9936788,6.4,4.0
1905-09-01,-4.0,-2.6,-3.1
1905-10-01,-11.4,-10.6,-11.1
1905-11-01,-13.8,-17.8,-13.789451
1905-12-01,-27.3,-28.3,-26.7
1906-01-01,-38.3,-40.3,-37.606033
1906-02-01,-24.5,-25.0,-26.706322
1906-03-01,-21.7,-21.7,-22.900286
1906-04-01,-19.7,-18.3,-19.400286
1906-05-01,-7.0,-5.8,-6.0108347
1906-06-01,2.6,4.2,3.1952012
1906-07-01,4.2,8.2,4.8994293
1906-08-01,2.9,6.2,3.7
1906-09-01,-0.8,0.4,-0.20028532
1906-10-01,-7.893679,-7.3,-7.7
1906-11-01,-19.9,-23.8,-19.599714
1906-12-01,-28.1,-30.5,-29.9
1907-01-01,-22.4,-26.1,-24.7
1907-02-01,-35.1,-35.6,-37.20632
1907-03-01,-27.3,-27.5,-29.100286
1907-04-01,-17.1,-15.8,-17.01055
1907-05-01,-5.9,-4.4,-4.4002852
1907-06-01,1.3,3.0,1.8891653
1907-07-01,3.7,7.8,4.3994293
1907-08-01,4.193679,7.5,4.8954864
1907-09-01,-1.3,0.0,-0.60028535
1907-10-01,-11.6,-10.6,-10.7
